Study ID,Study_Publication_Year,Study Class,Treatment Focus (Study level),N Randomized,N Randomized Detail,PTSD Criteria Met at Baseline Percent,PTSD Criteria Met at Baseline Percent Detail,PTSD Severity at Baseline Definition,PTSD Severity at Baseline Mean,PTSD Severity at Baseline Standard Deviation,PTSD Severity at Baseline Detail,Additional PTSD Severity Data,Duration of Symptoms/Diagnosis Mean,Duration of Symptoms/Diagnosis Standard Deviation,Duration of Symptoms/Diagnosis Detail,Active Duty Military Percent,Service-Connected Veteran Percent,Service-Connected Veteran Percent Detail,Veteran Percent,Community Percent,Military Status,Military Status Detail,Age Mean,Age Standard Deviation,Age Detail,Female Percent,Female Detail,Male Percent,Race/Ethnicity Reported,"Race, White","Race, Black","Race, AIAN","Race, Asian","Race, NHPI","Race, Other","Race, Detail","Ethnicity, Hispanic","Ethnicity, Hispanic Detail",Percent Treatment-naive,Percent Treatment-naive Detail,Percent with Depression,Percent with Depression Detail,Percent with TBI History,Percent with TBI History Detail,Trauma Type,Trauma Detail,Trauma Types Mean,Trauma Types Standard Deviation,Trauma Types Detail,Trauma Events Mean,Trauma Events Standard Deviation,Trauma Events Detail,SUD Substance Class,SUD Specific Substance Target,Current SUD Inclusion/Exclusion Criteria,Percent With Any SUD Detail,Patients with Suicidality Excluded,Suicide or Self-Directed Violence Exclusion/Inclusion Criteria,Suicide or Self-Directed Violence Definition,Suicide or Self-Directed Violence Percent,Suicide or Self-Directed Violence Detail,Psychotic Disorder or Symptom Inclusion/Exclusion Criteria,Psychotic Disorder or Symptom Related Definition,Psychotic Disorder or Symptom Related Percent,Psychotic Disorder or Symptom Related Detail,Personality Disorder Definition,Personality Disorder Percent,Personality Disorder Detail,Anxiety Disorder Definition,Anxiety Disorder Percent,Anxiety Disorder Detail,Prior Inpatient Hospitalization Percent,Prior Inpatient Hospitalization Percent Detail,Geometric Point,Risk of Bias Rating,Citation,PTSDPubs ID,Year Added to PTSD-Repository
akbarian2015,2015,Psychotherapy & pharmacotherapy,PTSD,40,,1,,IES-R,65.18,4.96,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,31.64,5.93,,0.7857,,0.2143,,,,,,,,,,,,,0,,,,Mixed,"intimate partner violence, accidents, illness/medical procedure",,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (54.27407 32.57503),High,"Akbarian F, Bajoghli H, Haghighi M, et al. The effectiveness of cognitive behavioral therapy with respect to psychological symptoms and recovering autobiographical memory in patients suffering from post-traumatic stress disorder. Neuropsychiatr Dis Treat. 2015;11:395-404. doi: 10.2147/NDT.S79581. PMID: 25737635.",43629,2019
akuchekian2004,2004,Pharmacotherapy,PTSD,67,,1,,CAPS,49.81,8.43,,Additional definitions of PTSD severity at baseline reported in the study,17.9,2.2,,,,,1,0,Veteran,,39.8,4.19,,0,,1,,,,,,,,,,,0%,,,,,,Combat-related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (54.27407 32.57503),High,"Akuchekian S, Amanat S. The Comparison of Topiramate and Placebo in the Treatment of Posttraumatic Stress Disorder: A Randomized, Double- Blind Study. J Res Med Sci. 2004;9(5):240-4.",50403,2019
aldahadha2012,2012,Psychotherapy,PTSD,51,,1,,TSI,58.9,6.78,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,26.41,,range 19 to 37,0.5294,,0.4706,,,,,,,,,,,,,,,,,Accidents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (56.09166 20.60515),High,"Aldahadha B, Al-Harthy H, Sulaiman S. The Efficacy of Eye Movement Desensitization Reprocessing in Resolving the Trauma Caused by the Road Accidents in the Sultanate of Oman. Journal of Instructional Psychology. 2012;39(3/4):146-58.",1548482,2019
alghamdi2015,2015,Psychotherapy,PTSD,34,,1,,,,,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,0,,0,1,Community,,30.4,5.1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,"8.82% reported 1 event, 17.64% reported 2-3 events, 73.53% reported >3 events",,,,,,,,,,,,,,,,,,,,,,POINT (44.53687 24.12245),High,"Alghamdi M, Hunt NC, Thomas SA. The effectiveness of narrative exposure therapy with traumatised firefighters in Saudi Arabia: a randomized controlled study. Behav Res Ther. 2015 Mar;66:64-71. doi: 10.1016/j.brat.2015.01.008. PMID: 25701801.",46524,2020
alon2022,2022,Nonpharmacologic cognitive,PTSD,60,,1,,CAPS-5,30.6,7.215,,Additional definitions of PTSD severity at baseline reported in the study,10.8,10.98,Time since traumatic event (unit of time NR),,,,,1,Community,,39.68,12.19,,0.333,Discrepancy in publication; text states 40 (66.7%) female participants but Table 1 states 20 (33.3%) female participants. Data entered from Table 1,0.667,Not reported,,,,,,,,,,,,0.567,Depressive episode (baseline comorbidity),0%,"Excluded: ""brain injury""",Mixed,Combat-related; Rape/sexual assault; Accidents; Illness/medical procedure; Community/school violence; Terrorism/political violence/forced displacement,,,"""Thirty participants (50%) reported that they had experienced additional traumas to the main trauma encoded in the CAPS-5 interview.""",,,,,,Excluded,"""Drugs/alcohol abuse"": 0% (excluded)",,,,,Excluded: suicidal ideation,,,,Excluded: current or past psychosis,,,,GAD,0.3,"Additional anxiety disorders:
Social phobia: 23.33%
Panic disorder: 35.00%
Agoraphobia: 13.33%
Obsessive-compulsive disorder: 1.67%",,,POINT (35.00445 31.4611),Low,"Alon Y, Azriel O, Pine DS, et al. A randomized controlled trial of supervised remotely-delivered attention bias modification for posttraumatic stress disorder. Psychol Med. 2022 Feb 8:1-10. doi: 10.1017/S003329172200023X. PMID: 35132952.",1587317,2023
alsheikhali2020,2020,Psychotherapy,PTSD,40,,,,PCL-C,58.55,9.73,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,,,,1,,0,,,,,,,,,,,,,,,,,Terrorism/political violence/forced displacement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (36.77137 31.24579),High,Alsheikh Ali ASS. Efficiency of Intervention Counseling Program on the Enhanced Psychological Well-being and Reduced Post-traumatic Stress Disorder Symptoms Among Syrian Women Refugee Survivors. Clin Pract Epidemiol Ment Health. 2020 Jul 30;16(Suppl-1):134-141. doi: 10.2174/1745017902016010134. PMID: 33029190; PMCID: PMC7536727.,1558371,2022
angelakis2020,2020,Psychotherapy,PTSD,52,"53 randomized, 1 withdrawn ""due to medication status""",1,,CAPS,79.41,19.42,,Additional definitions of PTSD severity at baseline reported in the study,4.7,6.98,Years since index trauma,,,,,1,Community,,33.11,12.86,,0.92,,0.08,Race data reported,0.9,,,,,0.1,Only reports Caucasian race,,,,38.5% currently on psychotropic medication,1,Inclusion criterion,0%,Severe TBI excluded,Mixed,Accidents; Child physical abuse; Child sexual abuse; Rape/sexual assault; Community/school violence; Natural or manmade disasters; Terrorism/political violence/forced displacement; Other (traumatic loss),3.46,2.57,Number of other trauma types experienced,,,,,,Included,Current substance abuse or dependence: 26.9%,,,,,Active suicidal intent excluded,,,,,,,,"MINI, additional anxiety disorder",0.6,,,,POINT (134.491 -25.73289),Low,"Angelakis S, Weber N, Nixon RDV. Comorbid posttraumatic stress disorder and major depressive disorder: The usefulness of a sequential treatment approach within a randomised design. J Anxiety Disord. 2020 Dec;76:102324. doi: 10.1016/j.janxdis.2020.102324. Epub 2020 Oct 20. PMID: 33137600.",1560706,2022
ardani2017,2017,Pharmacotherapy,PTSD,36,,1,,PCL-M,50.5,4.92,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,50.22,5.66,,0,,1,,,,,,,,,,,0%,,0,,,,Combat-related,,,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,,1,,POINT (54.27407 32.57503),Some Concerns,"Ardani AR, Hosseini G, Bordbar MRF, et al. Effect of rivastigmine augmentation in treatment of male patients with combat-related chronic posttraumatic stress disorder: a randomized controlled trial. J Clin Psychopharmacol. 2017 Feb;37(1):54-60. doi: 10.1097/jcp.0000000000000624. PMID: 27930500.",47465,2019
arntz2007,2007,Psychotherapy,PTSD,67,,1,,PSS-SR (Dutch version),26.85,10.59,,Additional definitions of PTSD severity at baseline reported in the study,3.92,7.42,,,,,,1,Community,,35.36,12.15,,0.6567,,0.3433,,,,,,,,,,,71.64%,,,,,,Mixed,"rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)",,,,,,38.81% with multiple index traumas,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (5.281473 52.10081),High,"Arntz A, Tiesema M, Kindt M. Treatment of PTSD: a comparison of imaginal exposure with and without imagery rescripting. J Behav Ther Exp Psychiatry. 2007 Dec;38(4):345-70. doi: 10.1016/j.jbtep.2007.10.006. PMID: 18005935.",30284,2019
asukai2010,2010,Psychotherapy,PTSD,24,,1,,CAPS,84.46,,SE 7.78,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,29.3,7.3,,0.875,,0.125,,,,,,,,,,,8.33%,,0.875,,,,Mixed,"rape/sexual assault, accidents, community/school violence",,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,"Panic disorder: MINI 37.50%;


Generaized anxiety disorder: MINI 12.50%;


Social anxiety disorder: MINI 4.17%",,,POINT (138.0309 37.5923),Some Concerns,"Asukai N, Saito A, Tsuruta N, et al. Efficacy of exposure therapy for Japanese patients with posttraumatic stress disorder due to mixed traumatic events: A randomized controlled study. J Trauma Stress. 2010 Dec;23(6):744-50. doi: 10.1002/jts.20589. PMID: 21171135.",84311,2019
back2019,2019,Psychotherapy,PTSD+SUD,81,,1,,CAPS-IV,79.8,18,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,40.4,10.7,,0.091,,0.909,Race and Ethnicity data reported,0.605,0.37,,,,0.025,,0.037,,,,0.296,,,,Mixed,"Combat-related, Rape/sexual assault, Accidents, Community/school violence, Natural or manmade disasters, Terrorism/policital violence/forced displacement; Other (physical assault, assault with a weapon, unwanted or uncomfortable sexual experience, captivity, severe human suffering, sudden violent death of someone close, sudden unexpected death of someone close, other very stressful event or experience)",8.4,2.7,,,,,Mixed Alcohol/Drug,Mixed Alcohol/Drug,Included,"Alcohol use disorder only: 63.0%


Alcohol and drug use disorder: 27.2%


Drug use disorder only: 9.9%


Cigarette smoker: 56.8%",,,,,"Lifetime suicidal ideation: 42.0%


Lifetime suicide attempt: 27.2%",,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"Back SE, Killeen T, Badour CL, et al. Concurrent treatment of substance use disorders and PTSD using prolonged exposure: a randomized clinical trial in military veterans. Addict Behav. 2019 Mar;90:369-77. doi: 10.1016/j.addbeh.2018.11.032. PMID: 30529244.",51384,2020
badurabrack2015a,2015,Nonpharmacologic cognitive,PTSD,52,,1,,PCL,59.38,1.8,,Additional definitions of PTSD severity at baseline reported in the study,14.14,11.46,,0,,,1,0,Veteran,,36.05,12.1,,0,,1,,,,,,,,,,,,,0.55,,,,Combat-related,,,,,,,,,,,,,,,,,,,,,Cluster B personality disorder: DSM-IV,0.1538,,Generalized anxiety disorder: DSM-IV,0.3846,,,,POINT (35.00445 31.4611),High,"Badura-Brack AS, Naim R, Ryan TJ, et al. Effect of attention training on attention bias variability and PTSD symptoms: randomized controlled trials in Israeli and U.S. combat veterans. Am J Psychiatry. 2015 Dec;172(12):1233-41. doi: 10.1176/appi.ajp.2015.14121578. PMID: 26206075.",44617,2019
badurabrack2015b,2015,Nonpharmacologic cognitive,PTSD,46,,1,,CAPS,72.26,3.26,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,32.43,7.93,,0,,1,,,,,,,,,,,,,0.59,,0%,,Combat-related,,,,,,,,,,Excluded,"""Substance use dependence"": 0%


Substance abuse: NR


AUD: NR",,,,,,,,,,Cluster B personality disorder: DSM-IV,0.0435,,,,"Generalized anxiety disorder: DSM-IV 8.70%;


Panic disorder: DSM-IV 15.22%;


Social phobia: DSM-IV 4.35%",,,POINT (-95.71289 37.09024),High,"Badura-Brack AS, Naim R, Ryan TJ, et al. Effect of attention training on attention bias variability and PTSD symptoms: randomized controlled trials in Israeli and U.S. combat veterans. Am J Psychiatry. 2015 Dec;172(12):1233-41. doi: 10.1176/appi.ajp.2015.14121578. PMID: 26206075.",44617,2019
baekkelund2021,2021,Psychotherapy,PTSD,89,,1,,PSS-I,33.37,8.21,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,39.15,9.9,,0.843,,0.157,,,,,,,,,,,,"59.1% with ""previous PTSD diagnosis or treatment""",0.91,MINI any depressive disorder (present or lifetime),,,Mixed,Child physical abuse; Child sexual abuse; Child other abuse,3.58,1.12,Number of Childhood Trauma Questionaire abuse types,,,,,,Excluded,"Excluded ""serious substance abuse interfering with treatment""",,,MINI severe suicidality (score >2),0.079,Acute suicidality excluded,,MINI any psychotic disorder (present or lifetime),0.112,"""Serious psychotic symptoms"" excluded",,,,MINI any anxiety disorder (present or lifetime),0.82,,0.422,,POINT (15.34833 68.75014),Low,"Baekkelund H, Karlsrud I, Hoffart A, et al. Stabilizing group treatment for childhood-abuse related PTSD: a randomized controlled trial. Eur J Psychotraumatol. 2021 Jan 22;12(1):1859079. doi: 10.1080/20008198.2020.1859079. PMID: 33537118.",1564973,2022
baig2022,2022,Psychotherapy & pharmacotherapy,PTSD,20,,1,,CAPS-5,49.4,6.77,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,53.5,13.36,,0.05,,0.95,Race and Ethnicity data reported,0.9,0.1,,,,,,0.6,,,,,,100%,All had a history of mild TBI,Combat-related,,,,,,,,,,Excluded,SUD severe enough to require medical detoxification or inpatient hospitalization in the past month: 0% (excluded),,,,,Excluded ongoing serious suicidal risk,,Schizophrenia or schizoaffective disorder,0,Exclusion criterion,,,,,,,,,POINT (-95.71289 37.09024),High,"Baig MR, Wilson JL, Beck RD, et al. Quetiapine as an adjunct to enhance engagement in prolonged exposure therapy for PTSD in veterans: A randomized, pilot trial. Journal of Behavioral and Cognitive Therapy. 2022 doi: 10.1016/j.jbct.2022.04.001.",1620166,2023
baker1995,1995,Pharmacotherapy,PTSD,118,,1,,CAPS,83.4,18,,Additional definitions of PTSD severity at baseline reported in the study,12.81,11.22,,0,,,0.602,0.398,Mixed,,44,7.2,,0.193,,0.807,,,,,,,,,,,,,0,,,,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (not specified)",,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"Baker DG, Diamond BI, Gillette GM, et al. A double-blind, randomized, placebo-controlled, multi-center study of brofaromine in the treatment of post-traumatic stress disorder. Psychopharmacology (Berl). 1995 Dec;122(4):386-9. doi: 10.1007/BF02246271. PMID: 8657838.",6773,2019
baniasadi2014,2014,Pharmacotherapy,PTSD,37,,1,,PCL-M,55.94,7.71,,Additional definitions of PTSD severity at baseline reported in the study,17.5,11.1,,0,,,1,0,Veteran,,48.2,3.6,,0,,1,,,,,,,,,,,0%,,,,,,Combat-related,,,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (54.27407 32.57503),High,"Baniasadi M, Hosseini G, Fayyazi Bordbar MR, et al. Effect of pregabalin augmentation in treatment of patients with combat-related chronic posttraumatic stress disorder: a randomized controlled trial. J Psychiatr Pract. 2014 Nov;20(6):419-27. doi: 10.1097/01.pra.0000456590.12998.41. PMID: 25406046.",44618,2019
basoglu2005,2005,Psychotherapy,PTSD,59,,1,,CAPS,64.3,15.4,,Additional definitions of PTSD severity at baseline reported in the study,3,0.3,,,,,,1,Community,,36.3,11.5,,0.8475,,0.1525,,,,,,,,,,,,,,,,,Natural or manmade disasters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (35.16896 39.0616),Low,"Basoglu M, Salcioglu E, Livanou M, et al. Single-session behavioral treatment of earthquake-related posttraumatic stress disorder: a randomized waiting list controlled trial. J Trauma Stress. 2005;18(1):1-11. doi: 10.1002/jts.20011. PMID: 16281190.",18886,2019
basoglu2007,2007,Psychotherapy,PTSD,31,,1,,CAPS,62.71,12.43,,Additional definitions of PTSD severity at baseline reported in the study,,,mean 4.5 (SD 0.2) years since index trauma,0,0,,0,1,Community,,34,11,,0.871,,0.129,,,,,,,,,,,,,0.3548,,,,Natural or manmade disasters,,,,,,,,,,,,,,,,,,,,,,,,,,"Panic disorder: 9.68%


Panic disorder with agoraphobia: 19.35%",,,POINT (35.16896 39.0616),High,"Basoglu M, Salcioglu E, Livanou M. A randomized controlled study of single-session behavioural treatment of earthquake-related post-traumatic stress disorder using an earthquake simulator. Psychological Medicine. 2007;37(2):203-13. doi: 10.1017/S0033291706009123. PMID: 17254365.",29446,2020
batki2014,2014,Pharmacotherapy,PTSD+SUD,30,,1,,CAPS,78.3,16,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,50,13.3,,0.0667,,0.9333,Race and Ethnicity data reported,0.5333,0.2333,0.0333,0.0667,0.0333,0.1,,0.0667,,,,,,,,Mixed,"combat-related, other (""civilian related trauma"")",,,,,,,Alcohol,Alcohol,Included,"Current SUD: 33.33%


Current alcohol dependence: 100%",,,Suicide attempt or ideation in 6 momths prior to enrollment,0,,,Met criteria for a psychotic disorder,0,,,,,,,,,,POINT (-95.71289 37.09024),High,"Batki SL, Pennington DL, Lasher B, et al. Topiramate treatment of alcohol use disorder in veterans with posttraumatic stress disorder: a randomized controlled pilot trial. Alcohol Clin Exp Res. 2014 Aug;38(8):2169-77. doi: 10.1111/acer.12496. PMID: 25092377.",42646,2020
battaglia2016,2016,Other study class,PTSD+SUD,175,,1,,PCL,58.8,11.5,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,55.6,11,,0.1371,,0.8629,Race data reported,0.7029,,,,,0.2971,,,,,,0.6286,Depressive Disorder,5.14%,,,,,,,,,,Drug,Nicotine,Included,Nicotine: 100%; Substance abuse: 32.00%,,,,,,,,,,,,,"Anxiety disorder, chart diagnosis",0.1314,,,,POINT (-95.71289 37.09024),High,"Battaglia C, Peterson J, Whitfield E, et al. Integrating motivational interviewing into a home telehealth program for veterans with posttraumatic stress disorder who smoke: a randomized controlled trial. J Clin Psychol. 2016 Mar;72(3):194-206. doi: 10.1002/jclp.22252. PMID: 26783736.",49060,2020
